 ID;PAGE;SPANISH_TITLE;SPANISH_BODY;ENGLISH_TITLE;ENGLISH_BODY 
 jupiter_page_4;4;Exploración de Júpiter;Desde los sobrevuelos de las Voyager hasta la misión Juno, varias sondas han estudiado Júpiter. La misión europea JUICE visitará el sistema joviano para investigar sus lunas heladas y su potencial para albergar océanos bajo el hielo.;Exploring Jupiter;From the Voyager flybys to the Juno mission, several probes have studied Jupiter. ESA’s JUICE mission will visit the Jovian system to explore its icy moons and their potential underground oceans. 

 saturno_page_1;1;Visión general;Saturno es el sexto planeta desde el Sol y el segundo más grande. Es un gigante gaseoso compuesto sobre todo de hidrógeno y helio.;Overview;Saturn is the sixth planet from the Sun and the second largest. It is a gas giant made mainly of hydrogen and helium. 
 saturno_page_2;2;Los anillos de Saturno;Saturno es famoso por su sistema de anillos brillantes formados por partículas de hielo y roca. Los anillos se extienden a cientos de miles de kilómetros pero son muy delgados.;Saturn’s rings;Saturn is famous for its bright ring system made of countless pieces of ice and rock. The rings stretch hundreds of thousands of kilometres but are very thin. 
 saturn_page_3;3;Un mundo lleno de lunas;El planeta tiene muchas lunas, desde pequeños fragmentos de hielo hasta mundos complejos como Titán y Encélado. Algunas de ellas podrían esconder océanos de agua líquida bajo capas de hielo.;A world of moons;Saturn has many moons, from small icy fragments to complex worlds such as Titan and Enceladus. Some of them may hide liquid water oceans beneath layers of ice. 
 saturno_page_4;4;La misión Cassini;La misión Cassini-Huygens orbitó Saturno durante más de una década. Estudió sus anillos, su atmósfera y sus lunas, y envió una sonda que aterrizó en Titán, revelando mares y ríos de metano líquido.;The Cassini mission;The Cassini–Huygens mission orbited Saturn for more than a decade. It studied its rings, atmosphere and moons and delivered a lander that touched down on Titan, revealing seas and rivers of liquid methane. 

 urano_page_1;1;Gigante helado;Urano es el séptimo planeta desde el Sol y uno de los llamados gigantes de hielo. Está compuesto en gran parte por agua, amoniaco y metano alrededor de un núcleo rocoso.;Ice giant;Uranus is the seventh planet from the Sun and one of the so-called ice giants. It is made largely of water, ammonia and methane around a rocky core. 
 urano_page_2;2;Un planeta tumbado;La característica más extraña de Urano es que rota casi de lado, con un eje inclinado unos 90 grados. Esto provoca estaciones muy largas y extremas en cada hemisferio.;A tilted planet;The strangest feature of Uranus is that it spins almost on its side, with its axis tilted about 90 degrees. This causes very long and extreme seasons in each hemisphere. 
 urano_page_3;3;Color, anillos y lunas;El metano de su atmósfera absorbe la luz roja y le da a Urano su tono azul verdoso. El planeta tiene anillos finos y decenas de lunas con nombres de personajes de obras de Shakespeare y Pope.;Colour, rings and moons;Methane in its atmosphere absorbs red light and gives Uranus its blue-green colour. The planet has faint rings and dozens of moons named after characters from the works of Shakespeare and Pope. 
 urano_page_4;4;Visitas desde lejos;Hasta ahora solo la sonda Voyager 2 ha pasado cerca de Urano, tomando imágenes y datos durante un breve sobrevuelo. Futuras misiones podrían estudiar su interior, sus lunas y sus anillos con mucho más detalle.;Distant visits;So far only the Voyager 2 probe has flown close to Uranus, taking images and data during a brief flyby. Future missions could study its interior, moons and rings in much greater detail. 

 neptuno_page_1;1;El mundo más lejano;Neptuno es el octavo planeta y el más distante del Sol. Es otro gigante de hielo, oscuro y muy frío.;The most distant world;Neptune is the eighth planet and the most distant from the Sun. It is another dark, very cold ice giant. 
 neptuno_page_2;2;Vientos extremos;Su atmósfera está compuesta principalmente por hidrógeno, helio y metano. El metano le da su color azul intenso y en el planeta soplan algunos de los vientos más rápidos del sistema solar.;Extreme winds;Its atmosphere is made mainly of hydrogen, helium and methane. Methane gives Neptune its deep blue colour, and the planet hosts some of the fastest winds in the Solar System. 
 neptuno_page_3;3;Anillos y Tritón;Neptuno posee varios anillos finos y muchas lunas. La mayor es Tritón, un mundo helado que probablemente fue capturado por el planeta y que muestra chorros de material helado saliendo de su superficie.;Rings and Triton;Neptune has several faint rings and many moons. The largest is Triton, an icy world that was probably captured by the planet and shows geyser-like jets of frozen material from its surface. 
 neptuno_page_4;4;Exploración y futuro;La única sonda que ha visitado Neptuno de cerca es Voyager 2, que realizó un sobrevuelo en 1989. Hoy telescopios espaciales siguen observando el planeta, y se estudian ideas para misiones que lo exploren de nuevo.;Exploration and future;The only spacecraft to visit Neptune up close is Voyager 2, which flew by in 1989. Today space telescopes keep observing the planet, and ideas for future missions are being studied. 
